pair,abbrev,title,cluster,qid,block,primary_drift,x_value,y_value,diff
A1_vs_B,aobf,Autobiography of Benjamin Franklin,G2,Q01,1,D3,0.0,14.1844,-14.1844
A1_vs_B,aobf,Autobiography of Benjamin Franklin,G2,Q02,1,D3,8.1967,7.6336,0.5631
A1_vs_B,aobf,Autobiography of Benjamin Franklin,G2,Q03,1,D3,3.3113,14.1844,-10.8731
A1_vs_B,aobf,Autobiography of Benjamin Franklin,G2,Q04,2,D1,2.4691,6.3291,-3.86
A1_vs_B,aobf,Autobiography of Benjamin Franklin,G2,Q05,2,D1,8.7719,6.8027,1.9692
A1_vs_B,aobf,Autobiography of Benjamin Franklin,G2,Q06,3,D2,10.4348,12.2699,-1.8352
A1_vs_B,aobf,Autobiography of Benjamin Franklin,G2,Q07,3,D2,4.1322,0.0,4.1322
A1_vs_B,aobf,Autobiography of Benjamin Franklin,G2,Q08,3,D2,0.0,5.9172,-5.9172
A1_vs_B,aobf,Autobiography of Benjamin Franklin,G2,Q09,4,D3,0.0,5.1282,-5.1282
A1_vs_B,aobf,Autobiography of Benjamin Franklin,G2,Q10,4,D3,0.0,9.009,-9.009
A1_vs_B,aobf,Autobiography of Benjamin Franklin,G2,Q11,5,D1,2.9806,15.7068,-12.7262
A1_vs_B,aobf,Autobiography of Benjamin Franklin,G2,Q12,5,D4,9.2593,6.993,2.2663
A1_vs_B,aobf,Autobiography of Benjamin Franklin,G2,Q13,5,D4,10.4167,0.0,10.4167
A1_vs_B,aobf,Autobiography of Benjamin Franklin,G2,Q14,5,D3,0.0,0.0,0.0
A1_vs_B,aobf,Autobiography of Benjamin Franklin,G2,Q15,5,D3,12.766,16.3043,-3.5384
A1_vs_B,aow,Art of War,G3,Q01,1,D3,0.0,0.0,0.0
A1_vs_B,aow,Art of War,G3,Q02,1,D3,0.0,0.0,0.0
A1_vs_B,aow,Art of War,G3,Q03,1,D3,3.2573,5.988,-2.7307
A1_vs_B,aow,Art of War,G3,Q04,2,D1,9.1241,0.0,9.1241
A1_vs_B,aow,Art of War,G3,Q05,2,D1,2.1322,6.5789,-4.4468
A1_vs_B,aow,Art of War,G3,Q06,3,D2,5.6926,0.0,5.6926
A1_vs_B,aow,Art of War,G3,Q07,3,D2,1.8797,0.0,1.8797
A1_vs_B,aow,Art of War,G3,Q08,3,D2,5.5453,0.0,5.5453
A1_vs_B,aow,Art of War,G3,Q09,4,D3,0.0,0.0,0.0
A1_vs_B,aow,Art of War,G3,Q10,4,D3,3.643,9.3897,-5.7467
A1_vs_B,aow,Art of War,G3,Q11,5,D1,5.168,3.876,1.292
A1_vs_B,aow,Art of War,G3,Q12,5,D4,2.681,6.6667,-3.9857
A1_vs_B,aow,Art of War,G3,Q13,5,D4,9.3897,0.0,9.3897
A1_vs_B,aow,Art of War,G3,Q14,5,D3,5.4496,5.1813,0.2682
A1_vs_B,aow,Art of War,G3,Q15,5,D3,8.4746,5.1813,3.2932
A1_vs_B,coa,The Confessions of St. Augustine,G1,Q01,1,D3,4.7619,15.1515,-10.3896
A1_vs_B,coa,The Confessions of St. Augustine,G1,Q02,1,D3,2.7473,0.0,2.7473
A1_vs_B,coa,The Confessions of St. Augustine,G1,Q03,1,D3,6.9444,13.8889,-6.9444
A1_vs_B,coa,The Confessions of St. Augustine,G1,Q04,2,D1,6.3025,6.7568,-0.4542
A1_vs_B,coa,The Confessions of St. Augustine,G1,Q05,2,D1,5.2724,5.4645,-0.1921
A1_vs_B,coa,The Confessions of St. Augustine,G1,Q06,3,D2,7.3421,6.6667,0.6755
A1_vs_B,coa,The Confessions of St. Augustine,G1,Q07,3,D2,4.7544,6.4103,-1.6559
A1_vs_B,coa,The Confessions of St. Augustine,G1,Q08,3,D2,8.8183,7.4627,1.3557
A1_vs_B,coa,The Confessions of St. Augustine,G1,Q09,4,D3,1.4535,5.814,-4.3605
A1_vs_B,coa,The Confessions of St. Augustine,G1,Q10,4,D3,10.9489,5.2356,5.7133
A1_vs_B,coa,The Confessions of St. Augustine,G1,Q11,5,D1,2.7285,11.9048,-9.1762
