abbrev,title,cluster,qid,block,primary_drift,condition,suffix_was_stripped,tokens,d1,d2,d3,d4,total,d1_per1k,d2_per1k,d3_per1k,d4_per1k,total_per1k,tokens_raw,d4_raw,total_raw,d4_per1k_raw,total_per1k_raw
aobf,Autobiography of Benjamin Franklin,G2,Q01,1,D3,A1,False,275,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,275,0,0,0.0,0.0
aobf,Autobiography of Benjamin Franklin,G2,Q01,1,D3,A2,False,162,0,0,0,1,1,0.0,0.0,0.0,6.172839506172839,6.172839506172839,162,1,1,6.172839506172839,6.172839506172839
aobf,Autobiography of Benjamin Franklin,G2,Q01,1,D3,B,True,141,0,1,0,1,2,0.0,7.092198581560283,0.0,7.092198581560283,14.184397163120567,160,2,3,12.5,18.75
aobf,Autobiography of Benjamin Franklin,G2,Q02,1,D3,A1,False,366,0,3,0,0,3,0.0,8.196721311475411,0.0,0.0,8.196721311475411,366,0,3,0.0,8.196721311475411
aobf,Autobiography of Benjamin Franklin,G2,Q02,1,D3,A2,False,278,0,1,0,0,1,0.0,3.5971223021582737,0.0,0.0,3.5971223021582737,278,0,1,0.0,3.5971223021582737
aobf,Autobiography of Benjamin Franklin,G2,Q02,1,D3,B,True,131,0,1,0,0,1,0.0,7.633587786259541,0.0,0.0,7.633587786259541,151,1,2,6.622516556291391,13.245033112582782
aobf,Autobiography of Benjamin Franklin,G2,Q03,1,D3,A1,False,302,0,1,0,0,1,0.0,3.3112582781456954,0.0,0.0,3.3112582781456954,302,0,1,0.0,3.3112582781456954
aobf,Autobiography of Benjamin Franklin,G2,Q03,1,D3,A2,False,264,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,264,0,0,0.0,0.0
aobf,Autobiography of Benjamin Franklin,G2,Q03,1,D3,B,True,141,0,1,1,0,2,0.0,7.092198581560283,7.092198581560283,0.0,14.184397163120567,162,1,3,6.172839506172839,18.51851851851852
aobf,Autobiography of Benjamin Franklin,G2,Q04,2,D1,A1,False,405,1,0,0,0,1,2.4691358024691357,0.0,0.0,0.0,2.4691358024691357,405,0,1,0.0,2.4691358024691357
aobf,Autobiography of Benjamin Franklin,G2,Q04,2,D1,A2,False,311,0,2,1,0,3,0.0,6.430868167202572,3.215434083601286,0.0,9.64630225080386,311,0,3,0.0,9.64630225080386
aobf,Autobiography of Benjamin Franklin,G2,Q04,2,D1,B,True,158,0,1,0,0,1,0.0,6.329113924050633,0.0,0.0,6.329113924050633,182,1,3,5.4945054945054945,16.483516483516485
aobf,Autobiography of Benjamin Franklin,G2,Q05,2,D1,A1,False,456,1,2,1,0,4,2.1929824561403506,4.385964912280701,2.1929824561403506,0.0,8.771929824561402,456,0,4,0.0,8.771929824561402
aobf,Autobiography of Benjamin Franklin,G2,Q05,2,D1,A2,False,329,0,2,2,1,5,0.0,6.079027355623101,6.079027355623101,3.0395136778115504,15.197568389057752,329,1,5,3.0395136778115504,15.197568389057752
aobf,Autobiography of Benjamin Franklin,G2,Q05,2,D1,B,True,147,0,1,0,0,1,0.0,6.802721088435374,0.0,0.0,6.802721088435374,168,1,2,5.952380952380952,11.904761904761903
aobf,Autobiography of Benjamin Franklin,G2,Q06,3,D2,A1,False,575,0,5,1,0,6,0.0,8.695652173913043,1.7391304347826089,0.0,10.434782608695652,575,0,6,0.0,10.434782608695652
aobf,Autobiography of Benjamin Franklin,G2,Q06,3,D2,A2,False,438,0,3,0,0,3,0.0,6.8493150684931505,0.0,0.0,6.8493150684931505,438,0,3,0.0,6.8493150684931505
aobf,Autobiography of Benjamin Franklin,G2,Q06,3,D2,B,True,163,0,1,1,0,2,0.0,6.134969325153374,6.134969325153374,0.0,12.269938650306749,186,1,3,5.376344086021506,16.129032258064516
aobf,Autobiography of Benjamin Franklin,G2,Q07,3,D2,A1,False,484,0,1,0,1,2,0.0,2.066115702479339,0.0,2.066115702479339,4.132231404958678,484,1,2,2.066115702479339,4.132231404958678
aobf,Autobiography of Benjamin Franklin,G2,Q07,3,D2,A2,False,411,0,1,1,1,3,0.0,2.4330900243309004,2.4330900243309004,2.4330900243309004,7.299270072992701,411,1,3,2.4330900243309004,7.299270072992701
aobf,Autobiography of Benjamin Franklin,G2,Q07,3,D2,B,True,173,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,192,1,1,5.208333333333333,5.208333333333333
aobf,Autobiography of Benjamin Franklin,G2,Q08,3,D2,A1,False,503,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,503,0,0,0.0,0.0
