lever,category,cluster,count
author_guidance,BK,G1,3
author_guidance,BK,G2,3
author_guidance,BK,G3,1
chapter_emphasis,BK,G1,0
chapter_emphasis,BK,G2,2
chapter_emphasis,BK,G3,1
concept_refresh,BK,G1,2
concept_refresh,BK,G2,1
concept_refresh,BK,G3,0
directness,CB,G1,1
directness,CB,G2,0
directness,CB,G3,2
hard_boundary,SB,G1,2
hard_boundary,SB,G2,0
hard_boundary,SB,G3,2
interpretive_depth,CB,G1,1
interpretive_depth,CB,G2,2
interpretive_depth,CB,G3,0
question_frequency,CB,G1,0
question_frequency,CB,G2,0
question_frequency,CB,G3,1
redirect_firmness,SB,G1,0
redirect_firmness,SB,G2,0
redirect_firmness,SB,G3,1
topic_scope,SB,G1,1
topic_scope,SB,G2,4
topic_scope,SB,G3,1
warmth,CB,G1,9
warmth,CB,G2,5
warmth,CB,G3,1
